year_month,state,unemployment_rate
2019-01,AL,3.7
2019-02,AL,3.6
2019-03,AL,3.4
2019-04,AL,3.3
2019-05,AL,3.2
2019-06,AL,3.0
2019-07,AL,3.0
2019-08,AL,3.0
2019-09,AL,3.0
2019-10,AL,3.0
2019-11,AL,3.0
2019-12,AL,3.1
2020-01,AL,3.2
2020-02,AL,3.3
2020-03,AL,3.4
2020-04,AL,13.8
2020-05,AL,10.4
2020-06,AL,8.6
2020-07,AL,7.5
2020-08,AL,6.3
2020-09,AL,5.9
2020-10,AL,5.2
2020-11,AL,4.8
2020-12,AL,4.5
2021-01,AL,4.2
2021-02,AL,3.9
2021-03,AL,3.8
2021-04,AL,3.7
2021-05,AL,3.6
2021-06,AL,3.5
2021-07,AL,3.4
2021-08,AL,3.2
2021-09,AL,3.0
2021-10,AL,2.9
2021-11,AL,2.8
2021-12,AL,2.7
2022-01,AL,2.6
2022-02,AL,2.6
2022-03,AL,2.6
2022-04,AL,2.6
2022-05,AL,2.6
2022-06,AL,2.6
2022-07,AL,2.6
2022-08,AL,2.6
2022-09,AL,2.5
2022-10,AL,2.5
2022-11,AL,2.4
2022-12,AL,2.3
2023-01,AL,2.3
2023-02,AL,2.3
2023-03,AL,2.3
2023-04,AL,2.3
2023-05,AL,2.3
2023-06,AL,2.4
2023-07,AL,2.4
2023-08,AL,2.5
2023-09,AL,2.6
2023-10,AL,2.7
2023-11,AL,2.8
2023-12,AL,2.8
2024-01,AL,2.9
2024-02,AL,2.9
2024-03,AL,2.9
2024-04,AL,2.9
2024-05,AL,2.9
2024-06,AL,2.9
2024-07,AL,3.0
2024-08,AL,3.0
2024-09,AL,3.1
2024-10,AL,3.1
2024-11,AL,3.1
2024-12,AL,3.1
2025-01,AL,3.1
2025-02,AL,3.0
2025-03,AL,3.0
2025-04,AL,2.9
2025-05,AL,2.9
2025-06,AL,2.9
2025-07,AL,2.8
2025-08,AL,2.8
2025-09,AL,2.8
2025-11,AL,2.7
2025-12,AL,2.7
2026-01,AL,2.7
2026-02,AL,2.7
2026-03,AL,2.7
2026-04,AL,2.8
2026-05,AL,3.0
2026-06,AL,3.2
1990-01,AK,7.2
1990-02,AK,7.2
1990-03,AK,7.2
1990-04,AK,7.2
1990-05,AK,7.2
1990-06,AK,7.2
1990-07,AK,7.2
1990-08,AK,7.2
1990-09,AK,7.2
1990-10,AK,7.3
1990-11,AK,7.4
1990-12,AK,7.5
1991-01,AK,7.6
1991-02,AK,7.7
1991-03,AK,7.9
1991-04,AK,8.0
1991-05,AK,8.1
1991-06,AK,8.3
1991-07,AK,8.3
1991-08,AK,8.5
1991-09,AK,8.6
1991-10,AK,8.8
1991-11,AK,8.9
1991-12,AK,9.0
1992-01,AK,9.1
1992-02,AK,9.2
1992-03,AK,9.1
1992-04,AK,9.1
1992-05,AK,9.1
1992-06,AK,9.0
1992-07,AK,8.9
1992-08,AK,8.8
1992-09,AK,8.7
1992-10,AK,8.6
1992-11,AK,8.4
1992-12,AK,8.2
1993-01,AK,8.1
1993-02,AK,8.0
1993-03,AK,7.9
1993-04,AK,7.9
1993-05,AK,7.8
1993-06,AK,7.8
1993-07,AK,7.8
1993-08,AK,7.7
1993-09,AK,7.7
1993-10,AK,7.7
1993-11,AK,7.7
1993-12,AK,7.7
1994-01,AK,7.8
1994-02,AK,7.8
1994-03,AK,7.8
1994-04,AK,7.8
1994-05,AK,7.7
1994-06,AK,7.6
1994-07,AK,7.6
1994-08,AK,7.5
1994-09,AK,7.4
1994-10,AK,7.3
1994-11,AK,7.2
1994-12,AK,7.1
1995-01,AK,7.1
1995-02,AK,7.1
1995-03,AK,7.1
1995-04,AK,7.1
1995-05,AK,7.2
1995-06,AK,7.3
1995-07,AK,7.3
1995-08,AK,7.4
1995-09,AK,7.5
1995-10,AK,7.5
1995-11,AK,7.6
1995-12,AK,7.6
1996-01,AK,7.7
1996-02,AK,7.7
1996-03,AK,7.6
1996-04,AK,7.6
1996-05,AK,7.5
1996-06,AK,7.4
1996-07,AK,7.3
1996-08,AK,7.3
1996-09,AK,7.3
1996-10,AK,7.3
1996-11,AK,7.4
1996-12,AK,7.4
1997-01,AK,7.5
1997-02,AK,7.4
1997-03,AK,7.3
1997-04,AK,7.2
1997-05,AK,7.1
1997-06,AK,7.0
1997-07,AK,7.0
1997-08,AK,6.9
1997-09,AK,6.8
1997-10,AK,6.7
1997-11,AK,6.5
1997-12,AK,6.4
1998-01,AK,6.3
1998-02,AK,6.2
1998-03,AK,6.2
1998-04,AK,6.2
1998-05,AK,6.2
1998-06,AK,6.3
1998-07,AK,6.4
1998-08,AK,6.4
1998-09,AK,6.4
1998-10,AK,6.4
1998-11,AK,6.4
1998-12,AK,6.4
1999-01,AK,6.4
1999-02,AK,6.4
1999-03,AK,6.5
1999-04,AK,6.5
1999-05,AK,6.5
1999-06,AK,6.4
1999-07,AK,6.4
1999-08,AK,6.3
1999-09,AK,6.3
1999-10,AK,6.2
1999-11,AK,6.2
1999-12,AK,6.1
2000-01,AK,6.2
2000-02,AK,6.2
2000-03,AK,6.2
2000-04,AK,6.3
2000-05,AK,6.3
2000-06,AK,6.4
2000-07,AK,6.4
2000-08,AK,6.4
2000-09,AK,6.3
2000-10,AK,6.3
2000-11,AK,6.3
2000-12,AK,6.2
2001-01,AK,6.2
2001-02,AK,6.1
2001-03,AK,6.1
2001-04,AK,6.1
2001-05,AK,6.1
2001-06,AK,6.1
2001-07,AK,6.2
2001-08,AK,6.3
2001-09,AK,6.4
2001-10,AK,6.5
2001-11,AK,6.6
